tiempo,valores
2019,2.340
2018,2.356
2017,2.203
2016,2.033
2015,1.863
2014,1.764
2013,1.669
2012,1.739
2011,1.669
2010,1.720
2009,1.812
2008,1.783
2007,1.736
2006,1.727
2005,1.652
2004,1.762
2003,1.705
2002,1.827
2001,1.868
2000,1.831
1999,1.666
1998,1.601
1997,976
1996,967
1995,905
1994,952
1993,888
1992,864
1991,805
1990,680
1989,662
1988,752
1987,767
1986,754
1985,792
1984,844
1977,544
1976,601
1975,581
1974,642
1972,543
1969,429
1968,552
1967,754
1966,664
1965,698
1964,524
1963,495
1962,497
1961,376
1960,294
