tiempo,valores
2019,13.668
2018,13.851
2017,14.333
2016,14.639
2015,16.202
2014,16.875
2013,18.158
2012,18.485
2011,19.904
2010,21.028
2009,22.189
2008,21.546
2007,22.007
2006,21.419
2005,22.236
2004,21.955
2003,23.396
2002,21.677
2001,21.085
2000,21.656
1999,22.402
1998,22.349
1997,15.901
1996,14.853
1995,14.231
1994,14.058
1993,13.540
1992,13.516
1991,12.477
1990,12.316
1989,12.939
1988,14.290
1987,15.281
1986,16.499
1985,15.356
1984,16.251
1983,16.876
1982,13.203
1981,12.708
1980,12.769
1979,12.851
1978,12.409
1977,12.299
1976,11.744
1975,11.744
1974,10.723
1973,10.730
1972,10.231
1971,9.157
1970,8.761
1969,8.241
1968,8.174
1967,7.940
1966,8.450
1965,8.330
1964,8.336
1963,8.923
1962,9.541
1961,10.333
1960,11.506
