tiempo,valores
1960,8637
1961,8113
1962,7183
1963,6567
1964,6371
1965,6114
1966,6600
1967,6181
1968,6427
1969,6603
1970,6967
1971,7082
1972,7784
1973,8129
1974,8382
1975,8231
1976,8042
1977,7970
1978,7790
1979,7972
1980,7773
1981,7388
1982,7465
1983,8109
1984,8093
1985,8027
1986,9168
1987,8550
1988,8505
1989,8186
1990,7772
1991,7398
1992,7377
1993,6976
1994,6865
1995,7189
1996,7285
1997,7593
1998,9406
1999,9011
2000,8595
2001,8290
2002,8272
2003,8713
2004,8292
2005,8317
2006,8502
2007,8820
2008,8683
2009,8518
2010,8526
2011,8992
2012,7948
2013,7905
2014,7542
2015,6950
2016,6378
2017,6132
2018,6180
2019,5757
