tiempo,valores
2019,5.757
2018,6.180
2017,6.132
2016,6.378
2015,6.950
2014,7.542
2013,7.905
2012,7.948
2011,8.992
2010,8.526
2009,8.518
2008,8.683
2007,8.820
2006,8.502
2005,8.317
2004,8.292
2003,8.713
2002,8.272
2001,8.290
2000,8.595
1999,9.011
1998,9.406
1997,7.593
1996,7.285
1995,7.189
1994,6.865
1993,6.976
1992,7.377
1991,7.398
1990,7.772
1989,8.186
1988,8.505
1987,8.550
1986,9.168
1985,8.027
1984,8.093
1983,8.109
1982,7.465
1981,7.388
1980,7.773
1979,7.972
1978,7.790
1977,7.970
1976,8.042
1975,8.231
1974,8.382
1973,8.129
1972,7.784
1971,7.082
1970,6.967
1969,6.603
1968,6.427
1967,6.181
1966,6.600
1965,6.114
1964,6.371
1963,6.567
1962,7.183
1961,8.113
1960,8.637
